case_name,0,1,2,Percentage
dyad_02_DG_P1_target,45154,,9771.0,0.0
dyad_02_DG_P2_target,54925,,,
dyad_02_MG_P1P2,54925,,,
dyad_02_0_D1,9771,45154.0,,0.8221028675466545
dyad_02_1d_DG_P1,45154,9771.0,,0.17789713245334546
dyad_02_1d_DG_P2,54925,,,
dyad_03_DG_P1_target,8583,,35044.0,0.0
dyad_03_DG_P2_target,10812,32815.0,,0.0
dyad_03_MG_P1P2,16722,26905.0,,0.6167052513351824
dyad_03_0_D1,40954,2673.0,,0.061269397391523595
dyad_03_1d_DG_P1,35488,8139.0,,0.18655878240539114
dyad_03_1d_DG_P2,37717,5910.0,,0.1354665688679029
dyad_04_DG_P1_target,24076,,22954.0,0.0
dyad_04_DG_P2_target,24103,22927.0,,0.0
dyad_04_MG_P1P2,33695,13335.0,,0.2835424197320859
dyad_04_0_D1,32546,14484.0,,0.30797363385073356
dyad_04_1d_DG_P1,37411,9619.0,,0.20452902402721668
dyad_04_1d_DG_P2,37438,9592.0,,0.20395492238996385
dyad_05_DG_P1_target,13541,,38586.0,0.0
dyad_05_DG_P2_target,11990,40137.0,,0.0
dyad_05_MG_P1P2,21817,30310.0,,0.5814645001630633
dyad_05_0_D1,48413,3714.0,,0.07124906478408502
dyad_05_1d_DG_P1,43851,8276.0,,0.15876609050971666
dyad_05_1d_DG_P2,42300,9827.0,,0.18852034454313504
dyad_06_DG_P1_target,9003,,28604.0,0.0
dyad_06_DG_P2_target,18676,18931.0,,0.0
dyad_06_MG_P1P2,22728,14879.0,,0.39564442789906135
dyad_06_0_D1,32656,4951.0,,0.13165102241603957
dyad_06_1d_DG_P1,23882,13725.0,,0.3649586513149148
dyad_06_1d_DG_P2,33555,4052.0,,0.10774589836998431
dyad_07_DG_P1_target,30726,,15318.0,0.0
dyad_07_DG_P2_target,20855,25189.0,,0.0
dyad_07_MG_P1P2,38050,7994.0,,0.1736165407001998
dyad_07_0_D1,32513,13531.0,,0.293871079836678
dyad_07_1d_DG_P1,38720,7324.0,,0.1590652419424898
dyad_07_1d_DG_P2,28849,17195.0,,0.37344713752063247
dyad_10_DG_P1_target,17879,,1714.0,0.0
dyad_10_DG_P2_target,13829,5764.0,,0.0
dyad_10_MG_P1P2,18672,921.0,,0.04700658398407594
dyad_10_0_D1,6557,13036.0,,0.665339662124228
dyad_10_1d_DG_P1,18800,793.0,,0.0404736385443781
dyad_10_1d_DG_P2,14750,4843.0,,0.24718011534731793
dyad_11_DG_P1_target,42610,,663.0,0.0
dyad_11_DG_P2_target,43013,260.0,,0.0
dyad_11_MG_P1P2,43251,22.0,,0.0005084001571418668
dyad_11_0_D1,901,42372.0,,0.9791787026552353
dyad_11_1d_DG_P1,42632,641.0,,0.014812931851269844
dyad_11_1d_DG_P2,43035,238.0,,0.005499965336352922
