Group;Start;End
DYAD_2023_11_06_Seminar_Munich_Session_1_Group_1_TS;2023-11-06 16:16:48.000;2023-11-06 16:26:55.000
DYAD_2023_11_06_Seminar_Munich_Session_2_Group_1_TS;2023-11-06 17:11:36.000;2023-11-06 17:19:50.000
DYAD_2023_12_19_Seminar_Wue_Session_2_Group_2_TS;2023-12-19 11:27:21.000;2023-12-19 11:39:24.000
DYAD_2023_12_19_Seminar_Wue_Session_2_Group_4_TS;2023-12-19 11:27:30.000;2023-12-19 11:38:30.000
DYAD_2023_12_19_Seminar_Wue_Session_4_Group_1_TS;2023-12-19 15:17:50.000;2023-12-19 15:28:46.000
DYAD_2023_12_19_Seminar_Wue_Session_4_Group_2_TS;2023-12-19 15:19:50.000;2023-12-19 15:28:55.000
DYAD_2023_12_19_Seminar_Wue_Session_4_Group_5_TS;2023-12-19 15:18:00.000;2023-12-19 15:28:50.000
DYAD_2024_05_07_Seminar_Wue_Session_2_Group_1_TS;2024-05-07 13:16:40.000;2024-05-07 13:30:15.000
DYAD_2024_06_14_Seminar_Wue_Session_1_Group_2_TS;2024-06-14 11:34:05.000;2024-06-14 11:43:35.000
DYAD_2024_06_14_Seminar_Wue_Session_3_Group_5_TS;2024-06-14 15:36:05.000;2024-06-14 15:42:50.000
TRIAD_2023_10_23_Seminar_Munich_Session_1_Group_1_TS;2023-10-23 16:02:22.000;2023-10-23 16:14:43.000
TRIAD_2023_12_19_Seminar_Wue_Session_2_Group_1_TS;2023-12-19 11:27:50.000;2023-12-19 11:38:00.000
TRIAD_2023_12_19_Seminar_Wue_Session_3_Group_1_TS;2023-12-19 13:26:35.000;2023-12-19 13:39:14.000
TRIAD_2024_05_07_Seminar_Wue_Session_2_Group_2_TS;2024-05-07 13:16:50.000;2024-05-07 13:27:30.000
TRIAD_2024_05_07_Seminar_Wue_Session_2_Group_4_TS;2024-05-07 13:17:17.000;2024-05-07 13:27:40.000
TRIAD_2024_06_14_Seminar_Wue_Session_2_Group_1_TS;2024-06-14 13:31:05.000;2024-06-14 13:38:20.000
TRIAD_2024_06_14_Seminar_Wue_Session_3_Group_1_TS;2024-06-14 15:36:10.000;2024-06-14 15:42:30.000
TRIAD_2024_06_14_Seminar_Wue_Session_3_Group_2_TS;2024-06-14 15:35:30.000;2024-06-14 15:42:51.000
TRIAD_2023_10_30_Seminar_Munich_No_VAD;2023-10-30 16:08:39.272;2023-10-30 16:16:11.000
